[Sample Definition]	
Type	Time
Use Buffer	FALSE
delta	0.0000000025
start	-0.0000010250
nsample	1620.0000000000
nframes	1.000000
nAnalog	4.000000
nDigitalSets	0.000000
ChScale A 	1.000000
ChOffset A 	0.000000
ChScale B 	1.000000
ChOffset B 	0.000000
ChScale C 	1.000000
ChOffset C 	0.000000
ChScale D 	1.000000
ChOffset D 	0.000000
TriggerTime	46106.249316556	3/24/2026 9:59:00 AM
[Data]
Time	Chan A	Chan B	Chan C	Chan D
-0.0000004675 	 0.0068502226 	 -0.0062681353 	 0.0072559211 	 0.1197745278
-0.0000004650 	 0.0065361122 	 -0.0041700145 	 0.0041682944 	 0.1300600320
-0.0000004625 	 0.0065361122 	 -0.0015473638 	 0.0103435479 	 0.1259458363
-0.0000004600 	 0.0067455191 	 0.0002360386 	 0.0072559211 	 0.1259458363
-0.0000004575 	 0.0069549256 	 0.0033832192 	 0.0093143396 	 0.1249172762
-0.0000004550 	 0.0069549256 	 0.0055862460 	 0.0082851313 	 0.1249172762
-0.0000004525 	 0.0071643326 	 0.0074745538 	 0.0051975045 	 0.1300600320
-0.0000004500 	 0.0071643326 	 0.0100972047 	 0.0082851313 	 0.1331456751
-0.0000004475 	 0.0070596291 	 0.0113560772 	 0.0062267128 	 0.1362313330
-0.0000004450 	 0.0067455191 	 0.0131394789 	 0.0051975045 	 0.1352027804
-0.0000004425 	 0.0065361122 	 0.0136640090 	 0.0062267128 	 0.1352027804
-0.0000004400 	 0.0076878499 	 0.0139787272 	 0.0041682944 	 0.1321171373
-0.0000004375 	 0.0067455191 	 0.0130345728 	 0.0010806676 	 0.1321171373
-0.0000004350 	 0.0068502226 	 0.0125100426 	 0.0062267128 	 0.1280029416
-0.0000004325 	 0.0068502226 	 0.0109364530 	 0.0093143396 	 0.1259458363
-0.0000004300 	 0.0061172983 	 0.0094677685 	 0.0082851313 	 0.1166888848
-0.0000004275 	 0.0063267052 	 0.0076843658 	 0.0072559211 	 0.1290314794
-0.0000004250 	 0.0062220017 	 0.0047469977 	 0.0103435479 	 0.1156603396
-0.0000004225 	 0.0062220017 	 0.0021243470 	 0.0051975045 	 0.1238887236
-0.0000004200 	 0.0062220017 	 -0.0010228336 	 0.0082851313 	 0.1197745278
-0.0000004175 	 0.0062220017 	 -0.0036454841 	 0.0103435479 	 0.1269743890
-0.0000004150 	 0.0060125948 	 -0.0062681353 	 0.0062267128 	 0.1352027804
-0.0000004125 	 0.0061172983 	 -0.0085760672 	 0.0041682944 	 0.1259458363
-0.0000004100 	 0.0061172983 	 -0.0109889060 	 0.0072559211 	 0.1300600320
-0.0000004075 	 0.0059078913 	 -0.0131919328 	 0.0051975045 	 0.1331456751
-0.0000004050 	 0.0064314087 	 -0.0137164630 	 -0.0009777509 	 0.1280029416
-0.0000004025 	 0.0062220017 	 -0.0151851475 	 0.0072559211 	 0.1393169761
-0.0000004000 	 0.0060125948 	 -0.0146606173 	 0.0041682944 	 0.1238887236
-0.0000003975 	 0.0060125948 	 -0.0158145837 	 0.0103435479 	 0.1238887236
-0.0000003950 	 0.0065361122 	 -0.0140311811 	 0.0062267128 	 0.1187459826
-0.0000003925 	 0.0073737400 	 -0.0121428724 	 0.0113727581 	 0.1280029416
-0.0000003900 	 0.0067455191 	 -0.0105692819 	 0.0041682944 	 0.1249172762
-0.0000003875 	 0.0067455191 	 -0.0080515379 	 0.0093143396 	 0.1228601858
-0.0000003850 	 0.0069549256 	 -0.0056386990 	 0.0103435479 	 0.1269743890
-0.0000003825 	 0.0066408156 	 -0.0025964242 	 0.0031390861 	 0.1290314794
-0.0000003800 	 0.0066408156 	 0.0000262265 	 0.0093143396 	 0.1331456751
-0.0000003775 	 0.0066408156 	 0.0033832192 	 0.0051975045 	 0.1372598708
-0.0000003750 	 0.0066408156 	 0.0064254943 	 0.0093143396 	 0.1382884234
-0.0000003725 	 0.0069549256 	 0.0097824866 	 -0.0009777509 	 0.1341742277
-0.0000003700 	 0.0066408156 	 0.0117757013 	 0.0041682944 	 0.1310885847
-0.0000003675 	 0.0066408156 	 0.0148179755 	 0.0041682944 	 0.1321171373
